2011_SLA,IRSD_decile,
620103410,4,
620103812,6,
620105412,3,
620155610,1,
705051004,6,
705051008,7,
705051011,10,
705051014,10,
705051018,8,
705051024,3,
705051026,10,
705051028,8,
705051034,7,
705051038,4,
705051044,10,
705051048,9,
705051052,10,
705051054,3,
705051058,3,
705051064,9,
705051068,6,
705051074,6,
705051078,8,
705051084,1,
705051088,7,
705051094,9,
705051098,8,
705051104,9,
705051108,9,
705051114,6,
705051118,5,
705051124,7,
705051128,4,
705051134,8,
705051138,9,
705101169,2,
705102802,7,
705102804,5,
705102806,10,
705102808,2,
705102811,10,
705102814,1,
705102818,5,
705102824,9,
705202304,5,
705202308,7,
710050540,1,
710050700,1,
710051509,1,
710054560,5,
710104050,1,
710154663,6,
710154666,1,
710250419,10,
710251300,1,
710252409,9,
710302200,2,
710303600,1,
710304505,1,
710304508,1,
710350422,1,
710350425,1,
710400201,5,
710400203,4,
710400205,6,
710400207,7,
710400208,4,
710400620,1,
710402330,1,
710406059,6,
805050189,8,
805050639,7,
805050909,10,
805051449,10,
805051889,8,
805051989,8,
805052169,10,
805053609,9,
805055049,10,
805055229,8,
805056389,9,
805057209,3,
805058289,9,
805058559,9,
805100279,10,
805100459,7,
805100549,8,
805100729,10,
805101179,5,
805101629,10,
805102139,9,
805102259,9,
805102619,7,
805102709,10,
805102889,10,
805103249,10,
805103879,10,
805103969,7,
805104149,7,
805104779,9,
805105139,9,
805105409,9,
805105589,10,
805105679,7,
805105949,9,
805106669,7,
805107569,8,
805107659,9,
805108649,10,
805151269,9,
805151719,10,
805152439,10,
805153069,10,
805154239,10,
805154419,10,
805155319,7,
805155859,9,
805156489,10,
805156849,10,
805156939,9,
805158109,10,
805201089,10,
805202079,10,
805202529,9,
805204059,10,
805207389,8,
805207749,8,
805208469,9,
805208739,9,
805250339,9,
805250609,9,
805250819,9,
805251359,8,
805251549,9,
805252349,10,
805253159,8,
805253289,9,
805253339,9,
805253379,9,
805254509,8,
805254869,9,
805255489,10,
805256129,9,
805256579,8,
805257289,6,
805258019,9,
805258189,5,
805258379,9,
805350369,10,
805351809,10,
805352789,10,
805353429,10,
805354589,5,
805354959,10,
805356219,8,
805357119,9,
805357929,1,
805358919,10,
805400239,10,
805400589,10,
805400939,10,
805401649,10,
805402779,10,
805402849,10,
805403519,10,
805403529,,
805403689,10,
805403819,10,
805406249,9,
805406279,10,
805406719,9,
810059009,8,
910051009,1,
910052009,4,
910053009,1,
