DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
L06B,1.89,"9,809",1.87,"9,655",2.25,"10,981",2.18,"10,948",2.43,"12,952",6128.86,5698.34,6423.31,6380.41,6983.35,0.2,1.33,0.12,1,0.13,1,0.15,0.92,0.14,1
L06C,0.98,"5,072",1.02,"5,296",1.13,"5,526",1.12,"5,618",1.18,"6,270",3410.98,3453.93,3493.76,3569.08,3682.79,,,0.2,1,0.13,1,0.15,1.21,0.15,1
L07A,2.12,"11,033",2.19,"11,333",2.65,"12,955",2.53,"12,711",2.62,"13,978",4536.81,4727.61,5889.46,5654.53,6033.63,0.2,1,0.17,1,0.16,1,0.15,1,0.16,1
L07B,0.79,"4,083",0.80,"4,142",0.92,"4,519",0.94,"4,741",0.96,"5,111",1898.62,1948.41,2119.91,2185.8,2240.8,0.32,1,0.27,1,0.29,1.17,0.27,1.21,0.23,1.12
L08A,1.92,"9,989",2.11,"10,913",,,,,,,3293.95,3483.97,3445.8,3926.38,,0.19,1,0.15,1,0.22,1,0.15,1,0.13,1
L08B,0.84,"4,371",0.88,"4,565",,,,,,,1896.91,1921.79,2073.25,2210.02,,0.19,1.08,0.17,0.87,0.2,0.82,0.15,0.8,0.14,0.83
L08Z,,,,,1.19,"5,812",1.29,"6,500",1.18,"6,320",,,,,2477.24,,,,,,,,,,
L09A,7.24,"37,626",6.92,"35,791",8.55,"41,769",8.26,"41,510",7.28,"38,813",26107.37,25378.3,25648.52,28258.05,27500.54,0.13,1,0.1,1,0.12,1,0.12,1,0.11,1
L09B,2.65,"13,795",2.13,"11,015",2.77,"13,547",2.68,"13,488",2.71,"14,452",10942.28,11055.88,11408.41,10629.75,11687.12,0.13,1,0.15,1,0.13,1,0.22,1.12,0.14,1
L09C,1.13,"5,876",1.11,"5,763",1.26,"6,178",1.28,"6,421",1.24,"6,624",5230.56,5318.83,7340.91,7359.14,7381.09,0.22,0.82,0.19,0.8,0.21,0.8,0.2,0.8,0.15,0.8
L10A,,,12.97,"67,078",12.98,"63,431",12.51,"62,872",12.06,"64,342",,,,,,,,,,,,0.09,1,0.11,1.07
L10B,,,8.04,"41,579",8.97,"43,838",8.20,"41,221",8.52,"45,456",,,18731.18,,,,,,,,,0.09,1,0.08,1
L40Z,0.87,"4,524",0.93,"4,788",,,,,,,2173.39,2232.67,2341.41,2498.41,,0.28,1,0.26,1,0.28,1,0.16,1,0.25,1
L41Z,0.25,"1,288",0.26,"1,328",,,,,,,933.04,930.75,976.29,995.15,,0.29,1.73,0.24,2,0.27,2,0.27,2,0.25,2
L42Z,0.73,"3,781",0.70,"3,607",,,,,,,2901.2,3073.01,3253.58,3220.02,,0.29,1,0.42,1,0.33,1,0.31,1,0.3,1
L43A,,,,,1.56,"7,640",1.50,"7,551",1.53,"8,166",,,,,4167.8,,,,,,,,,,
L43B,,,,,0.83,"4,078",0.84,"4,240",0.85,"4,551",,,,,2376.81,,,,,,,,,,
L44A,,,,,0.72,"3,529",0.78,"3,935",0.76,"4,071",,,,,1651.83,,,,,,,,,,
L44B,,,,,0.27,"1,326",0.27,"1,379",0.27,"1,452",,,,,1061.5,,,,,,,,,,
L60A,3.56,"18,508",3.91,"20,244",4.83,"23,588",4.71,"23,670",4.96,"26,452",13425.09,12731.33,14566.5,14434.74,16336.14,0.11,1,0.1,1,0.12,1,0.1,1,0.11,1
L60B,1.26,"6,574",1.38,"7,157",1.98,"9,679",1.97,"9,895",2.02,"10,784",6180.66,6092.61,7166.57,6762.29,9226.83,0.12,1.3,0.1,1.63,0.12,1.75,0.11,1.56,0.11,1.56
L60C,0.89,"4,652",0.89,"4,626",0.93,"4,531",0.92,"4,614",0.85,"4,531",2590.99,2361.02,2987.36,2670.1,4634.33,0.13,1.27,0.12,1.33,0.15,1.4,0.09,1.45,0.08,1.69
L61Z,0.10,543,0.11,575,0.12,598,0.12,606,0.11,606,416.99,422.59,536.06,1102.85,444.89,0.03,2,0.06,1.63,0.1,2,0.13,2,0.14,1.99
L62A,2.29,"11,885",3.04,"15,725",2.54,"12,428",2.50,"12,579",2.53,"13,473",8140.63,7823.26,11481.95,11139.68,8217.18,0.1,1.2,0.06,1.15,0.07,1.54,0.1,1,0.09,1
L62B,0.70,"3,640",1.37,"7,062",0.78,"3,796",0.73,"3,693",0.73,"3,870",2341.3,2123.53,5565.45,5026.91,2804.17,0.17,1.54,0.12,1.19,0.09,1.25,0.1,1.4,0.11,1.52
L62C,,,0.61,"3,136",0.26,"1,279",0.27,"1,355",0.28,"1,481",,,1931.96,1641.7,1241.63,,,,,,,0.15,1.57,0.18,1.62
